Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles,BMI,under-five deaths,Total expenditure,GDP,Population,Schooling
Afghanistan,65,263,62,0.01,71.27962362,1154,19.1,83,8.16,584.25921,33736494,10.1
Afghanistan,59.9,271,64,0.01,73.52358168,492,18.6,86,8.18,612.696514,327582,10
Afghanistan,59.9,268,66,0.01,73.21924272,430,18.1,89,8.13,631.744976,31731688,9.9
Afghanistan,59.5,272,69,0.01,78.1842153,2787,17.6,93,8.52,669.959,3696958,9.8
Afghanistan,59.2,275,71,0.01,7.097108703,3013,17.2,97,,63.537231,,9.5
Afghanistan,58.8,279,74,0.01,79.67936736,1989,16.7,102,9.2,553.32894,2883167,9.2
Afghanistan,58.6,281,77,0.01,56.76221682,2861,,106,9.42,445.8932979,284331,8.9
Afghanistan,58.1,287,80,0.03,25.87392536,1599,15.7,110,8.33,373.3611163,2729431,8.7
Afghanistan,57.5,295,82,0.02,10.91015598,1141,15.2,113,6.73,369.835796,26616792,8.4
Afghanistan,,295,84,0.03,,1990,14.7,116,7.43,272.56377,2589345,8.1
Afghanistan,57.3,291,85,0.02,1.388647732,1296,14.2,118,8.7,,257798,7.9
Afghanistan,57,293,,0.02,15.29606643,466,13.8,120,8.79,219.1413528,24118979,6.8
Afghanistan,56.7,295,87,0.01,11.08905273,798,13.4,122,8.82,198.7285436,2364851,6.5
Afghanistan,56.2,3,88,0.01,16.88735091,2486,13,122,7.76,187.84595,21979923,6.2
Afghanistan,55.3,316,88,0.01,10.5747282,8762,12.6,122,7.8,117.49698,2966463,5.9
Afghanistan,54.8,321,88,0.01,10.42496,6532,12.2,122,8.2,114.56,293756,5.5
Albania,77.8,74,0,4.6,364.9752287,0,58,0,6,3954.22783,28873,14.2
Albania,77.5,8,0,4.51,428.7490668,0,57.2,1,5.88,4575.763787,288914,14.2
Albania,77.2,84,0,4.76,430.8769785,0,56.5,1,5.66,4414.72314,289592,14.2
Albania,76.9,86,0,5.14,412.4433563,9,55.8,,5.59,4247.61438,2941,14.2
Albania,76.6,88,0,5.37,437.0621,28,55.1,1,5.71,4437.17868,295195,13.3
Albania,76.2,91,1,5.28,41.82275719,10,54.3,,5.34,494.358832,291321,12.5
Albania,76.1,91,1,5.79,348.0559517,0,53.5,1,5.79,4114.136545,2927519,12.2
Albania,75.3,1,1,5.61,36.62206845,0,52.6,1,5.87,437.539647,2947314,12
Albania,75.9,9,1,5.58,32.24655228,22,51.7,1,6.1,363.13685,29717,11.6
Albania,74.2,99,1,5.31,3.3021542,68,5.8,1,5.86,35.1293,2992547,11.4
Albania,73.5,15,1,5.16,26.99312143,6,49.9,1,6.12,279.142931,311487,10.8
Albania,73,17,1,4.54,,7,48.9,1,6.38,2416.588235,326939,10.9
Albania,72.8,18,1,4.29,14.71928882,8,47.9,1,6.27,,339616,10.7
Albania,73.3,15,1,3.73,104.5169157,16,,1,6.3,1453.642777,3511,10.7
Albania,73.6,14,1,4.25,96.20557078,18,46,1,6,1326.97339,,10.6
Albania,72.6,11,1,3.66,91.71154052,662,45,1,6.26,1175.788981,38927,10.7
Algeria,75.6,19,21,,0,63,59.5,24,,4132.76292,39871528,14.4
